epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.2806,0.3464,0.1186,0.1186,0.0000,0.0000,0.0000
01,0.3960,0.3806,0.2000,0.2000,0.0000,0.0000,0.0000
02,0.4374,0.4256,0.1552,0.1552,0.0000,0.0000,0.0000
03,0.4608,0.4184,0.2102,0.2102,0.0000,0.0000,0.0000
04,0.4826,0.4338,0.1702,0.1702,0.0000,0.0000,0.0000
05,0.4950,0.4528,0.1368,0.1368,0.0000,0.0000,0.0000
06,0.5006,0.4470,0.1864,0.1864,0.0000,0.0000,0.0000
07,0.5186,0.4624,0.1520,0.1520,0.0000,0.0000,0.0000
08,0.5188,0.4658,0.1610,0.1610,0.0000,0.0000,0.0000
09,0.5432,0.4538,0.1468,0.1468,0.0000,0.0000,0.0000
10,0.5444,0.4676,0.1432,0.1432,0.0000,0.0000,0.0000
11,0.5448,0.4514,0.1668,0.1668,0.0000,0.0000,0.0000
12,0.5566,0.4470,0.1780,0.1780,0.0000,0.0000,0.0000
13,0.5632,0.4670,0.1500,0.1500,0.0000,0.0000,0.0000
14,0.5766,0.4752,0.1492,0.1492,0.0000,0.0000,0.0000
15,0.5744,0.4548,0.1468,0.1468,0.0000,0.0000,0.0000
16,0.5810,0.4758,0.1598,0.1598,0.0000,0.0000,0.0000
17,0.5838,0.4752,0.1638,0.1638,0.0000,0.0000,0.0000
18,0.5914,0.4860,0.1614,0.1614,0.0000,0.0000,0.0000
19,0.5980,0.4660,0.1392,0.1392,0.0000,0.0000,0.0000
20,0.6054,0.4724,0.1668,0.1668,0.0000,0.0000,0.0000
21,0.6076,0.4718,0.1680,0.1680,0.0000,0.0000,0.0000
22,0.6114,0.4724,0.1344,0.1344,0.0000,0.0000,0.0000
23,0.6072,0.4678,0.1792,0.1792,0.0000,0.0000,0.0000
24,0.6198,0.4562,0.1690,0.1690,0.0000,0.0000,0.0000
25,0.6244,0.4684,0.1698,0.1698,0.0000,0.0000,0.0000
26,0.6274,0.4822,0.1516,0.1516,0.0000,0.0000,0.0000
27,0.6298,0.4664,0.1964,0.1964,0.0000,0.0000,0.0000
28,0.6438,0.4842,0.1648,0.1648,0.0000,0.0000,0.0000
29,0.6552,0.4686,0.1610,0.1610,0.0000,0.0000,0.0000
30,0.6596,0.4720,0.1604,0.1604,0.0000,0.0000,0.0000
31,0.6576,0.4688,0.1548,0.1548,0.0000,0.0000,0.0000
32,0.6358,0.4810,0.1552,0.1552,0.0000,0.0000,0.0000
33,0.6542,0.4576,0.1684,0.1684,0.0000,0.0000,0.0000
34,0.6576,0.4746,0.1532,0.1532,0.0000,0.0000,0.0000
35,0.6632,0.4852,0.1558,0.1558,0.0000,0.0000,0.0000
36,0.6726,0.4808,0.1696,0.1696,0.0000,0.0000,0.0000
37,0.6848,0.4694,0.1584,0.1584,0.0000,0.0000,0.0000
38,0.6814,0.4706,0.1478,0.1478,0.0000,0.0000,0.0000
39,0.6666,0.4552,0.1726,0.1726,0.0000,0.0000,0.0000
40,0.6820,0.4668,0.1568,0.1568,0.0000,0.0000,0.0000
41,0.6726,0.4630,0.1652,0.1652,0.0000,0.0000,0.0000
42,0.6952,0.4774,0.1652,0.1652,0.0000,0.0000,0.0000
43,0.6904,0.4886,0.1580,0.1580,0.0000,0.0000,0.0000
44,0.6874,0.4632,0.1580,0.1580,0.0000,0.0000,0.0000
45,0.6926,0.4812,0.1684,0.1684,0.0000,0.0000,0.0000
46,0.6896,0.4756,0.1532,0.1532,0.0000,0.0000,0.0000
47,0.7008,0.4740,0.1764,0.1764,0.0000,0.0000,0.0000
48,0.6964,0.4652,0.1462,0.1462,0.0000,0.0000,0.0000
49,0.7000,0.4752,0.1622,0.1622,0.0000,0.0000,0.0000
