epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.3214,0.3984,0.1096,0.1096,0.0000,0.0000,0.0000
01,0.4818,0.4898,0.1424,0.1424,0.0000,0.0000,0.0000
02,0.5318,0.5218,0.1626,0.1626,0.0000,0.0000,0.0000
03,0.5628,0.5524,0.1654,0.1654,0.0000,0.0000,0.0000
04,0.5862,0.5608,0.1596,0.1596,0.0000,0.0000,0.0000
05,0.5988,0.5712,0.1694,0.1694,0.0000,0.0000,0.0000
06,0.6208,0.5892,0.1816,0.1816,0.0000,0.0000,0.0000
07,0.6456,0.5948,0.1610,0.1610,0.0000,0.0000,0.0000
08,0.6538,0.5978,0.1600,0.1600,0.0000,0.0000,0.0000
09,0.6578,0.6112,0.1720,0.1720,0.0000,0.0000,0.0000
10,0.6604,0.6012,0.1938,0.1938,0.0000,0.0000,0.0000
11,0.6742,0.6182,0.1850,0.1850,0.0000,0.0000,0.0000
12,0.6946,0.6210,0.1920,0.1920,0.0000,0.0000,0.0000
13,0.6984,0.6078,0.1860,0.1860,0.0000,0.0000,0.0000
14,0.7070,0.6242,0.1852,0.1852,0.0000,0.0000,0.0000
15,0.7092,0.6316,0.1852,0.1852,0.0000,0.0000,0.0000
16,0.7150,0.6294,0.1980,0.1980,0.0000,0.0000,0.0000
17,0.7302,0.6270,0.1986,0.1986,0.0000,0.0000,0.0000
18,0.7266,0.6308,0.1888,0.1888,0.0000,0.0000,0.0000
19,0.7362,0.6352,0.1866,0.1866,0.0000,0.0000,0.0000
20,0.7362,0.6122,0.1736,0.1736,0.0000,0.0000,0.0000
21,0.7450,0.6434,0.1984,0.1984,0.0000,0.0000,0.0000
22,0.7528,0.6408,0.1784,0.1784,0.0000,0.0000,0.0000
23,0.7450,0.6482,0.1988,0.1988,0.0000,0.0000,0.0000
24,0.7580,0.6462,0.2140,0.2140,0.0000,0.0000,0.0000
25,0.7650,0.6456,0.2114,0.2114,0.0000,0.0000,0.0000
26,0.7682,0.6348,0.1720,0.1720,0.0000,0.0000,0.0000
27,0.7674,0.6454,0.2092,0.2092,0.0000,0.0000,0.0000
28,0.7764,0.6304,0.1874,0.1874,0.0000,0.0000,0.0000
29,0.7780,0.6310,0.1758,0.1758,0.0000,0.0000,0.0000
30,0.7848,0.6566,0.1980,0.1980,0.0000,0.0000,0.0000
31,0.7834,0.6382,0.2086,0.2086,0.0000,0.0000,0.0000
32,0.7934,0.6250,0.2198,0.2198,0.0000,0.0000,0.0000
33,0.7994,0.6402,0.1896,0.1896,0.0000,0.0000,0.0000
34,0.8004,0.6228,0.2620,0.2620,0.0000,0.0000,0.0000
35,0.7956,0.6424,0.1826,0.1826,0.0000,0.0000,0.0000
36,0.7980,0.6442,0.2094,0.2094,0.0000,0.0000,0.0000
37,0.8060,0.6396,0.2492,0.2492,0.0000,0.0000,0.0000
38,0.8078,0.6450,0.1882,0.1882,0.0000,0.0000,0.0000
39,0.8124,0.6296,0.2004,0.2004,0.0000,0.0000,0.0000
40,0.8244,0.6492,0.1870,0.1870,0.0000,0.0000,0.0000
41,0.8134,0.6438,0.2300,0.2300,0.0000,0.0000,0.0000
42,0.8244,0.6444,0.2080,0.2080,0.0000,0.0000,0.0000
43,0.8324,0.6562,0.2190,0.2190,0.0000,0.0000,0.0000
44,0.8262,0.6460,0.2092,0.2092,0.0000,0.0000,0.0000
45,0.8228,0.6394,0.1906,0.1906,0.0000,0.0000,0.0000
46,0.8366,0.6340,0.1988,0.1988,0.0000,0.0000,0.0000
47,0.8314,0.6484,0.2102,0.2102,0.0000,0.0000,0.0000
48,0.8326,0.6458,0.2006,0.2006,0.0000,0.0000,0.0000
49,0.8378,0.6264,0.2124,0.2124,0.0000,0.0000,0.0000
