epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.6941,0.8049,0.0430,0.0430,0.2918,0.2938,0.0039
01,0.9566,0.8182,0.0510,0.0510,0.6949,0.5534,0.0106
02,0.9787,0.8873,0.0529,0.0529,0.7115,0.6896,0.0116
03,0.9822,0.8531,0.0506,0.0506,0.7094,0.6959,0.0105
04,0.9965,0.9203,0.0760,0.0760,0.7070,0.7000,0.0100
05,0.9975,0.7939,0.0770,0.0770,0.7072,0.7016,0.0088
06,0.9902,0.9256,0.0588,0.0588,0.7094,0.6979,0.0077
07,0.9977,0.9359,0.0652,0.0652,0.7160,0.7113,0.0074
08,0.9961,0.7988,0.0607,0.0607,0.7096,0.7071,0.0067
09,0.9760,0.7996,0.0637,0.0637,0.7150,0.7020,0.0062
10,0.9678,0.9182,0.0701,0.0701,0.7066,0.7009,0.0055
11,0.9955,0.8848,0.0471,0.0471,0.7135,0.7132,0.0057
12,0.9945,0.9424,0.0678,0.0678,0.7068,0.7092,0.0067
13,0.9994,0.9449,0.0705,0.0705,0.7156,0.7211,0.0061
14,0.9994,0.9512,0.0676,0.0676,0.7111,0.7252,0.0051
15,0.9953,0.8617,0.0645,0.0645,0.7141,0.7258,0.0051
16,0.9803,0.8551,0.0662,0.0662,0.7084,0.7163,0.0045
17,0.9838,0.7920,0.0605,0.0605,0.7176,0.7114,0.0056
18,0.9855,0.9184,0.0582,0.0582,0.7141,0.7082,0.0051
19,0.9936,0.9361,0.0641,0.0641,0.7221,0.7332,0.0047
20,0.9996,0.9406,0.0658,0.0658,0.7227,0.7354,0.0047
21,0.9996,0.9443,0.0660,0.0660,0.7305,0.7526,0.0043
22,0.9965,0.9195,0.0633,0.0633,0.7324,0.7581,0.0041
23,0.9852,0.7928,0.0596,0.0596,0.7207,0.7290,0.0037
24,0.9789,0.8705,0.0420,0.0420,0.7193,0.7250,0.0046
25,0.9896,0.8455,0.0746,0.0746,0.7080,0.7139,0.0046
26,0.9932,0.9477,0.0793,0.0793,0.7275,0.7384,0.0046
27,0.9996,0.9477,0.0783,0.0783,0.7363,0.7499,0.0045
28,0.9994,0.9455,0.0777,0.0777,0.7402,0.7560,0.0040
29,0.9998,0.9541,0.0773,0.0773,0.7340,0.7524,0.0037
