epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7168,0.8561,0.0625,0.0625,0.3055,0.2216,0.0000
01,0.9537,0.9439,0.2357,0.2357,0.5566,0.6023,0.0000
02,0.9779,0.6633,0.1219,0.1219,0.7365,0.7087,0.0000
03,0.9873,0.9223,0.2742,0.2742,0.7494,0.7150,0.0000
04,0.9949,0.6766,0.1881,0.1881,0.7527,0.7240,0.0000
05,0.9943,0.9516,0.2754,0.2754,0.7580,0.7401,0.0000
06,0.9996,0.9180,0.2293,0.2293,0.7498,0.7327,0.0000
07,0.9887,0.9168,0.2156,0.2156,0.7414,0.7257,0.0000
08,0.9932,0.9311,0.2883,0.2883,0.7504,0.7412,0.0000
09,0.9961,0.8871,0.2152,0.2152,0.7588,0.7544,0.0000
10,0.9895,0.8031,0.1766,0.1766,0.7604,0.7412,0.0000
11,0.9867,0.8883,0.1781,0.1781,0.7586,0.7359,0.0000
12,0.9895,0.9467,0.2566,0.2566,0.7535,0.7430,0.0000
13,0.9957,0.8332,0.1762,0.1762,0.7740,0.7731,0.0000
14,0.9768,0.9451,0.2604,0.2604,0.7656,0.7587,0.0000
15,0.9939,0.9395,0.1992,0.1992,0.7645,0.7547,0.0000
16,0.9930,0.6516,0.2229,0.2229,0.7787,0.7738,0.0000
17,0.9854,0.9379,0.2609,0.2609,0.7676,0.7655,0.0000
18,0.9984,0.9586,0.2738,0.2738,0.7682,0.7667,0.0000
19,0.9992,0.9512,0.2867,0.2867,0.7689,0.7843,0.0000
20,0.9977,0.9596,0.2715,0.2715,0.7828,0.7953,0.0000
21,0.9936,0.9061,0.1803,0.1803,0.7883,0.8035,0.0000
22,0.9822,0.8859,0.1709,0.1709,0.7705,0.7614,0.0000
23,0.9891,0.9371,0.2687,0.2687,0.7824,0.7623,0.0000
24,0.9957,0.8990,0.1775,0.1775,0.7906,0.7848,0.0000
25,0.9879,0.8256,0.1447,0.1447,0.7795,0.7726,0.0000
26,0.9799,0.7578,0.1379,0.1379,0.7658,0.7601,0.0000
27,0.9857,0.9512,0.2307,0.2307,0.7803,0.7646,0.0000
28,0.9967,0.8357,0.1590,0.1590,0.7867,0.7760,0.0000
29,0.9854,0.8803,0.1859,0.1859,0.7697,0.7629,0.0000
