epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7008,0.8607,0.0668,0.0668,0.2939,0.3066,0.0683
01,0.9516,0.7994,0.0635,0.0635,0.6936,0.6813,0.0692
02,0.9787,0.9361,0.0566,0.0566,0.7107,0.7081,0.0392
03,0.9873,0.8770,0.0746,0.0746,0.7096,0.7076,0.0265
04,0.9949,0.9480,0.0732,0.0732,0.7064,0.7045,0.0216
05,0.9939,0.6119,0.0676,0.0676,0.7070,0.7061,0.0138
06,0.9885,0.9529,0.0770,0.0770,0.7086,0.7068,0.0240
07,0.9971,0.9557,0.0795,0.0795,0.7158,0.7199,0.0114
08,0.9979,0.9545,0.0816,0.0816,0.7049,0.7119,0.0077
09,0.9951,0.8902,0.0574,0.0574,0.7180,0.7227,0.0070
10,0.9818,0.9547,0.0785,0.0785,0.7113,0.7150,0.0192
11,0.9965,0.8791,0.0730,0.0730,0.7123,0.7197,0.0091
12,0.9949,0.9508,0.0793,0.0793,0.7123,0.7190,0.0164
13,0.9961,0.8783,0.0611,0.0611,0.7125,0.7227,0.0084
14,0.9807,0.9223,0.0633,0.0633,0.7156,0.7210,0.0186
15,0.9832,0.8148,0.0359,0.0359,0.7080,0.7203,0.0171
16,0.9814,0.7820,0.0902,0.0902,0.7027,0.7153,0.0187
17,0.9865,0.9398,0.0887,0.0887,0.7080,0.7179,0.0199
18,0.9949,0.9061,0.0805,0.0805,0.7156,0.7250,0.0145
19,0.9971,0.9508,0.0811,0.0811,0.7146,0.7257,0.0119
20,0.9996,0.9502,0.0824,0.0824,0.7135,0.7271,0.0065
21,0.9996,0.9533,0.0795,0.0795,0.7193,0.7360,0.0053
22,0.9934,0.8521,0.0717,0.0717,0.7164,0.7319,0.0044
23,0.9760,0.7641,0.0693,0.0693,0.7072,0.7225,0.0139
24,0.9740,0.8637,0.0514,0.0514,0.7104,0.7198,0.0213
25,0.9803,0.9334,0.0889,0.0889,0.6998,0.7144,0.0205
26,0.9961,0.9447,0.0869,0.0869,0.7160,0.7313,0.0104
27,0.9996,0.9521,0.0887,0.0887,0.7172,0.7364,0.0075
28,0.9996,0.9508,0.0875,0.0875,0.7193,0.7400,0.0058
29,0.9996,0.9514,0.0877,0.0877,0.7139,0.7346,0.0050
