epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.6611,0.8730,0.2604,0.2604,0.2170,0.3843,0.0023
01,0.9465,0.9230,0.2357,0.2357,0.7824,0.6936,0.0067
02,0.9916,0.9258,0.2549,0.2549,0.7896,0.7621,0.0079
03,0.9977,0.9012,0.1979,0.1979,0.7926,0.7828,0.0078
04,0.9941,0.9385,0.2217,0.2217,0.8008,0.7910,0.0074
05,0.9957,0.8922,0.1865,0.1865,0.8059,0.8022,0.0071
06,0.9900,0.9154,0.1639,0.1639,0.8113,0.8025,0.0061
07,0.9957,0.9305,0.2166,0.2166,0.8047,0.7975,0.0067
08,0.9979,0.9367,0.2250,0.2250,0.8135,0.8104,0.0063
09,0.9988,0.9381,0.2152,0.2152,0.8137,0.8129,0.0058
10,0.9932,0.6824,0.1314,0.1314,0.8107,0.8102,0.0050
11,0.9713,0.7965,0.1246,0.1246,0.8033,0.7926,0.0053
12,0.9820,0.9389,0.2162,0.2162,0.8063,0.7953,0.0054
13,0.9982,0.9488,0.2344,0.2344,0.8100,0.8101,0.0059
14,0.9992,0.9459,0.2484,0.2484,0.8092,0.8109,0.0051
15,0.9994,0.9311,0.2174,0.2174,0.8156,0.8205,0.0047
16,0.9984,0.9342,0.2402,0.2402,0.8121,0.8164,0.0043
17,0.9982,0.9451,0.2338,0.2338,0.8225,0.8253,0.0043
18,0.9996,0.9447,0.2209,0.2209,0.8207,0.8268,0.0042
19,0.9965,0.8607,0.1635,0.1635,0.8180,0.8309,0.0037
20,0.9896,0.7162,0.2168,0.2168,0.8078,0.8072,0.0043
21,0.9820,0.9393,0.2385,0.2385,0.8039,0.7980,0.0054
22,0.9955,0.9107,0.6648,0.6648,0.8207,0.8226,0.0052
23,0.9982,0.9465,0.2271,0.2271,0.8205,0.8228,0.0051
24,0.9996,0.9461,0.2344,0.2344,0.8186,0.8273,0.0045
25,0.9893,0.8033,0.1904,0.1904,0.8187,0.8197,0.0044
26,0.9721,0.9324,0.2488,0.2488,0.8221,0.8108,0.0036
27,0.9951,0.8389,0.1648,0.1648,0.8193,0.8282,0.0041
28,0.9895,0.9062,0.2127,0.2127,0.8090,0.8092,0.0047
29,0.9957,0.9371,0.2125,0.2125,0.8164,0.8168,0.0040
