epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7447,0.8486,0.0598,0.0598,0.2465,0.2609,0.0270
01,0.9248,0.9395,0.1533,0.1533,0.6621,0.5550,0.0455
02,0.9838,0.9600,0.1744,0.1744,0.6928,0.6844,0.0393
03,0.9984,0.9570,0.1287,0.1287,0.7172,0.7001,0.0284
04,0.9977,0.9648,0.1037,0.1037,0.7188,0.7124,0.0206
05,0.9992,0.9652,0.1074,0.1074,0.7219,0.7276,0.0139
06,0.9998,0.9689,0.0852,0.0852,0.7217,0.7392,0.0102
07,0.9998,0.9412,0.1352,0.1352,0.7201,0.7306,0.0084
08,0.9953,0.9695,0.1547,0.1547,0.7262,0.7377,0.0126
09,0.9984,0.9338,0.2770,0.2770,0.7195,0.7431,0.0085
10,0.9908,0.8305,0.5328,0.5328,0.7232,0.7431,0.0103
11,0.9803,0.6582,0.0656,0.0656,0.6990,0.7101,0.0131
12,0.9875,0.9557,0.1805,0.1805,0.7166,0.7184,0.0133
13,0.9969,0.9734,0.1676,0.1676,0.7184,0.7436,0.0097
14,0.9994,0.9703,0.1283,0.1283,0.7309,0.7600,0.0074
15,0.9967,0.9062,0.0912,0.0912,0.7311,0.7649,0.0060
16,0.9922,0.9648,0.1109,0.1109,0.7271,0.7420,0.0086
17,0.9998,0.9730,0.1244,0.1244,0.7395,0.7652,0.0063
18,0.9998,0.9723,0.1203,0.1203,0.7258,0.7614,0.0049
19,0.9998,0.9752,0.1283,0.1283,0.7396,0.7677,0.0047
20,0.9998,0.9758,0.1313,0.1313,0.7428,0.7747,0.0039
21,0.9998,0.9721,0.1145,0.1145,0.7355,0.7832,0.0035
22,0.9998,0.9711,0.1066,0.1066,0.7396,0.7799,0.0037
23,0.9967,0.7949,0.1006,0.1006,0.7312,0.7764,0.0033
24,0.9885,0.9676,0.1391,0.1391,0.7270,0.7348,0.0083
25,0.9986,0.9766,0.1273,0.1273,0.7275,0.7581,0.0060
26,0.9996,0.9764,0.1180,0.1180,0.7400,0.7792,0.0047
27,0.9998,0.9682,0.1174,0.1174,0.7402,0.7887,0.0036
28,0.9998,0.9717,0.1299,0.1299,0.7434,0.7885,0.0035
29,0.9998,0.7738,0.0826,0.0826,0.7342,0.7801,0.0031
