epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.5523,0.8674,0.2729,0.2729,0.3504,0.3234,0.0508
01,0.9564,0.9266,0.3754,0.3754,0.7611,0.7607,0.0813
02,0.9852,0.8117,0.5508,0.5508,0.7973,0.7913,0.0452
03,0.9908,0.7234,0.6414,0.6414,0.7848,0.7850,0.0316
04,0.9916,0.9535,0.5531,0.5531,0.8004,0.7976,0.0255
05,0.9998,0.9580,0.6645,0.6645,0.7982,0.7966,0.0163
06,1.0000,0.9379,0.6252,0.6252,0.7969,0.7946,0.0121
07,0.9926,0.8125,0.2734,0.2734,0.8000,0.7993,0.0145
08,0.9891,0.8564,0.3457,0.3457,0.7947,0.7892,0.0196
09,0.9881,0.9445,0.6936,0.6936,0.7971,0.7947,0.0166
10,0.9984,0.9574,0.6424,0.6424,0.8082,0.8078,0.0137
11,0.9936,0.8852,0.5752,0.5752,0.7959,0.8009,0.0097
12,0.9830,0.9158,0.8141,0.8141,0.7959,0.7970,0.0176
13,0.9953,0.9535,0.7602,0.7602,0.8004,0.8029,0.0131
14,0.9930,0.9178,0.5035,0.5035,0.8057,0.8070,0.0094
15,0.9887,0.8494,0.6332,0.6332,0.7939,0.7965,0.0153
16,0.9934,0.8928,0.7178,0.7178,0.7928,0.7970,0.0154
17,0.9980,0.9592,0.6746,0.6746,0.8061,0.8127,0.0116
18,0.9965,0.8465,0.6652,0.6652,0.7949,0.8103,0.0082
19,0.9916,0.9363,0.6076,0.6076,0.7912,0.7912,0.0168
20,0.9992,0.9557,0.7023,0.7023,0.8057,0.8092,0.0102
21,0.9990,0.9564,0.7186,0.7186,0.8033,0.8099,0.0081
22,0.9990,0.9627,0.7398,0.7398,0.8033,0.8122,0.0067
23,0.9967,0.9498,0.6248,0.6248,0.8066,0.8178,0.0057
24,0.9855,0.7982,0.2451,0.2451,0.7895,0.7988,0.0087
25,0.9693,0.8309,0.5689,0.5689,0.7949,0.7950,0.0160
26,0.9834,0.9479,0.6086,0.6086,0.7980,0.7993,0.0142
27,0.9938,0.9256,0.6119,0.6119,0.7971,0.8023,0.0095
28,0.9938,0.9555,0.6498,0.6498,0.8025,0.8113,0.0113
