epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.6135,0.8301,0.4484,0.4484,0.2504,0.2463,0.0000
01,0.9445,0.9213,0.6080,0.6080,0.6902,0.7153,0.0000
02,0.9885,0.9502,0.6152,0.6152,0.7967,0.7648,0.0000
03,0.9945,0.9451,0.5936,0.5936,0.8047,0.7867,0.0000
04,0.9988,0.9453,0.6342,0.6342,0.8035,0.7880,0.0000
05,0.9988,0.9559,0.6375,0.6375,0.7982,0.7863,0.0000
06,0.9992,0.9559,0.6266,0.6266,0.8045,0.7955,0.0000
07,0.9898,0.6045,0.3846,0.3846,0.7951,0.7894,0.0000
08,0.9715,0.9357,0.6090,0.6090,0.7830,0.7752,0.0000
09,0.9906,0.8816,0.6270,0.6270,0.7922,0.7822,0.0000
10,0.9850,0.9557,0.6416,0.6416,0.8014,0.7882,0.0000
11,0.9979,0.9461,0.6611,0.6611,0.8068,0.7974,0.0000
12,0.9930,0.8863,0.5301,0.5301,0.7916,0.7969,0.0000
13,0.9766,0.8822,0.5818,0.5818,0.7971,0.7843,0.0000
14,0.9840,0.8900,0.6021,0.6021,0.7973,0.7889,0.0000
15,0.9840,0.8051,0.5828,0.5828,0.7906,0.7711,0.0000
16,0.9842,0.8197,0.4607,0.4607,0.7979,0.7775,0.0000
17,0.9885,0.9445,0.6607,0.6607,0.7979,0.7850,0.0000
18,0.9947,0.9332,0.5861,0.5861,0.8035,0.7924,0.0000
19,0.9951,0.9453,0.6465,0.6465,0.8053,0.7948,0.0000
20,0.9990,0.9549,0.6633,0.6633,0.8080,0.8049,0.0000
21,0.9961,0.6793,0.6678,0.6678,0.7930,0.7976,0.0000
22,0.9812,0.7016,0.4219,0.4219,0.8008,0.7915,0.0000
23,0.9855,0.8561,0.6490,0.6490,0.8043,0.7925,0.0000
24,0.9703,0.8648,0.6799,0.6799,0.7883,0.7822,0.0000
25,0.9793,0.9506,0.7625,0.7625,0.7965,0.7900,0.0000
26,0.9984,0.9533,0.7385,0.7385,0.8014,0.8021,0.0000
27,0.9990,0.9559,0.7490,0.7490,0.8039,0.8030,0.0000
28,0.9992,0.9598,0.7436,0.7436,0.8111,0.8146,0.0000
29,0.9992,0.9570,0.7746,0.7746,0.7980,0.8052,0.0000
