epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.1416,0.1453,0.2848,0.2848,0.0029,0.0271,0.1125
01,0.1865,0.2145,0.1098,0.1098,0.2113,0.3309,0.0114
02,0.3582,0.5781,0.2041,0.2041,0.3525,0.5716,0.0581
03,0.5990,0.5701,0.1348,0.1348,0.6299,0.6436,0.1083
04,0.6613,0.6932,0.1865,0.1865,0.7547,0.7590,0.1255
05,0.8428,0.8316,0.2855,0.2855,0.7682,0.7694,0.0765
06,0.9207,0.8395,0.3023,0.3023,0.7740,0.7713,0.0806
07,0.9369,0.8369,0.2721,0.2721,0.7709,0.7676,0.0657
08,0.9451,0.9109,0.3113,0.3113,0.7736,0.7733,0.0631
09,0.9740,0.5520,0.1877,0.1877,0.7766,0.7745,0.0824
10,0.9324,0.7564,0.2014,0.2014,0.7699,0.7648,0.0918
11,0.9443,0.7330,0.1996,0.1996,0.7664,0.7662,0.1047
12,0.9205,0.8963,0.2512,0.2512,0.7600,0.7553,0.0829
13,0.9818,0.9082,0.3182,0.3182,0.7852,0.7751,0.0326
14,0.9912,0.9156,0.3084,0.3084,0.7779,0.7680,0.0208
15,0.9941,0.8748,0.2338,0.2338,0.7838,0.7721,0.0201
16,0.9922,0.9152,0.2855,0.2855,0.7805,0.7728,0.0184
17,0.9855,0.8840,0.2959,0.2959,0.7723,0.7686,0.0182
18,0.9729,0.8689,0.2955,0.2955,0.7760,0.7688,0.0330
19,0.9711,0.9053,0.2832,0.2832,0.7725,0.7629,0.0356
20,0.9873,0.9135,0.3096,0.3096,0.7820,0.7737,0.0222
21,0.9949,0.9219,0.2809,0.2809,0.7822,0.7775,0.0130
22,0.9895,0.8590,0.2855,0.2855,0.7699,0.7684,0.0212
23,0.9801,0.9146,0.3199,0.3199,0.7713,0.7660,0.0331
24,0.9938,0.9213,0.3393,0.3393,0.7781,0.7762,0.0109
25,0.9922,0.7947,0.3084,0.3084,0.7854,0.7791,0.0278
26,0.9828,0.9164,0.3117,0.3117,0.7805,0.7798,0.0187
27,0.9906,0.9068,0.3094,0.3094,0.7826,0.7821,0.0093
28,0.9902,0.9264,0.3238,0.3238,0.7852,0.7785,0.0148
29,0.9889,0.8959,0.2889,0.2889,0.7852,0.7826,0.0069
