epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7568,0.8328,0.0977,0.0977,0.5041,0.2127,0.0209
01,0.9625,0.8688,0.0875,0.0875,0.6861,0.5944,0.0454
02,0.9859,0.8867,0.0750,0.0750,0.7170,0.6429,0.0358
03,0.9883,0.9424,0.1688,0.1688,0.7312,0.6619,0.0279
04,0.9912,0.9646,0.1289,0.1289,0.7221,0.6745,0.0217
05,0.9979,0.9443,0.0844,0.0844,0.7377,0.7009,0.0169
06,0.9973,0.9580,0.1090,0.1090,0.7406,0.7151,0.0163
07,0.9957,0.9262,0.1426,0.1426,0.7504,0.7296,0.0132
08,0.9846,0.9500,0.2027,0.2027,0.7299,0.7027,0.0153
09,0.9934,0.9709,0.1213,0.1213,0.7441,0.7208,0.0165
10,0.9963,0.9574,0.1699,0.1699,0.7531,0.7286,0.0109
11,0.9916,0.8949,0.0705,0.0705,0.7383,0.7337,0.0115
12,0.9893,0.9594,0.1408,0.1408,0.7424,0.7257,0.0129
13,0.9953,0.7881,0.0877,0.0877,0.7430,0.7333,0.0099
14,0.9891,0.8422,0.0914,0.0914,0.7416,0.7298,0.0116
15,0.9846,0.9213,0.1865,0.1865,0.7355,0.7243,0.0093
16,0.9912,0.8287,0.1662,0.1662,0.7393,0.7403,0.0119
17,0.9867,0.7221,0.1232,0.1232,0.7428,0.7343,0.0109
18,0.9732,0.9691,0.1727,0.1727,0.7357,0.7366,0.0106
19,0.9990,0.9717,0.1756,0.1756,0.7598,0.7686,0.0094
20,0.9996,0.9662,0.1430,0.1430,0.7615,0.7709,0.0076
21,0.9965,0.8502,0.0721,0.0721,0.7549,0.7646,0.0072
22,0.9895,0.9684,0.1297,0.1297,0.7498,0.7576,0.0075
23,0.9955,0.8750,0.1410,0.1410,0.7434,0.7791,0.0080
24,0.9947,0.9287,0.1404,0.1404,0.7520,0.7604,0.0079
25,0.9967,0.9666,0.1482,0.1482,0.7535,0.7651,0.0091
26,0.9994,0.9680,0.1408,0.1408,0.7666,0.7883,0.0073
27,0.9965,0.9428,0.1609,0.1609,0.7594,0.7861,0.0065
28,0.9918,0.9266,0.1021,0.1021,0.7512,0.7758,0.0068
29,0.9951,0.9678,0.1682,0.1682,0.7568,0.7687,0.0077
