epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.3570,0.5680,0.1369,0.1369,0.1418,0.4187,0.0441
01,0.7723,0.8668,0.1854,0.1854,0.7203,0.7763,0.1013
02,0.9287,0.8963,0.2332,0.2332,0.7848,0.7841,0.0897
03,0.9605,0.8555,0.1594,0.1594,0.7904,0.7900,0.0553
04,0.9812,0.9430,0.4436,0.4436,0.7912,0.7971,0.0488
05,0.9914,0.8959,0.2256,0.2256,0.8045,0.8145,0.0329
06,0.9932,0.9463,0.4883,0.4883,0.8119,0.8232,0.0292
07,0.9988,0.9500,0.4770,0.4770,0.8039,0.8155,0.0160
08,0.9992,0.9463,0.7926,0.7926,0.8094,0.8225,0.0151
09,0.9982,0.9455,0.6381,0.6381,0.8090,0.8217,0.0125
10,0.9916,0.2488,0.0531,0.0531,0.8002,0.8139,0.0227
11,0.9670,0.8334,0.7121,0.7121,0.7996,0.8092,0.0518
12,0.9824,0.9457,0.8627,0.8627,0.8049,0.8176,0.0313
13,0.9986,0.9385,0.8648,0.8648,0.8066,0.8227,0.0138
14,0.9955,0.9453,0.8811,0.8811,0.8035,0.8199,0.0158
15,0.9982,0.9473,0.8688,0.8688,0.8092,0.8271,0.0085
16,0.9963,0.9285,0.8754,0.8754,0.8090,0.8257,0.0072
17,0.9943,0.9451,0.8812,0.8812,0.8115,0.8273,0.0128
18,0.9986,0.9512,0.8775,0.8775,0.8119,0.8296,0.0082
19,0.9959,0.8383,0.8234,0.8234,0.8123,0.8297,0.0061
20,0.9811,0.9344,0.8738,0.8738,0.8078,0.8227,0.0229
21,0.9979,0.9447,0.8627,0.8627,0.8057,0.8224,0.0118
22,0.9990,0.9451,0.8371,0.8371,0.8064,0.8247,0.0073
23,0.9996,0.9506,0.8670,0.8670,0.8100,0.8269,0.0087
24,0.9914,0.8557,0.7766,0.7766,0.8076,0.8231,0.0080
25,0.9814,0.8367,0.8096,0.8096,0.8066,0.8126,0.0196
26,0.9795,0.9420,0.8863,0.8863,0.8059,0.8160,0.0350
27,0.9975,0.9383,0.8721,0.8721,0.8107,0.8289,0.0127
28,0.9947,0.6834,0.4592,0.4592,0.8008,0.8239,0.0135
29,0.9855,0.7754,0.7248,0.7248,0.7973,0.8136,0.0265
