epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7543,0.8973,0.0973,0.0973,0.5053,0.2578,0.0759
01,0.9613,0.9080,0.0783,0.0783,0.6729,0.6738,0.0895
02,0.9777,0.9191,0.0936,0.0936,0.7072,0.6919,0.0496
03,0.9881,0.9686,0.2215,0.2215,0.7271,0.7068,0.0374
04,0.9924,0.9697,0.1482,0.1482,0.7225,0.7191,0.0267
05,0.9963,0.9400,0.1400,0.1400,0.7336,0.7383,0.0169
06,0.9914,0.9270,0.1039,0.1039,0.7430,0.7439,0.0183
07,0.9959,0.9717,0.1875,0.1875,0.7479,0.7474,0.0199
08,0.9955,0.9111,0.2230,0.2230,0.7332,0.7434,0.0144
09,0.9910,0.9760,0.1525,0.1525,0.7432,0.7446,0.0224
10,0.9963,0.9062,0.2434,0.2434,0.7416,0.7523,0.0112
11,0.9844,0.9348,0.1734,0.1734,0.7355,0.7444,0.0162
12,0.9871,0.9689,0.1635,0.1635,0.7422,0.7463,0.0191
13,0.9992,0.9561,0.1561,0.1561,0.7469,0.7593,0.0109
14,0.9957,0.8197,0.0730,0.0730,0.7443,0.7618,0.0111
15,0.9775,0.9371,0.1205,0.1205,0.7295,0.7417,0.0158
16,0.9904,0.9516,0.1672,0.1672,0.7420,0.7521,0.0199
17,0.9916,0.8447,0.0668,0.0668,0.7428,0.7569,0.0135
18,0.9867,0.9688,0.2303,0.2303,0.7393,0.7480,0.0153
19,0.9996,0.9711,0.2236,0.2236,0.7580,0.7740,0.0094
20,0.9996,0.9709,0.1752,0.1752,0.7516,0.7731,0.0076
21,0.9959,0.8600,0.0893,0.0893,0.7535,0.7713,0.0092
22,0.9801,0.9553,0.1520,0.1520,0.7490,0.7552,0.0132
23,0.9885,0.9086,0.1883,0.1883,0.7512,0.7690,0.0139
24,0.9908,0.9732,0.1922,0.1922,0.7572,0.7862,0.0131
25,0.9996,0.9742,0.1758,0.1758,0.7604,0.7952,0.0081
26,0.9994,0.9729,0.1867,0.1867,0.7736,0.8052,0.0069
27,0.9965,0.8791,0.1918,0.1918,0.7631,0.8018,0.0058
28,0.9908,0.9680,0.1619,0.1619,0.7619,0.7753,0.0093
