epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7584,0.8883,0.0807,0.0807,0.2619,0.4144,0.0667
01,0.9213,0.8350,0.1334,0.1334,0.6451,0.7244,0.1032
02,0.9744,0.9510,0.2047,0.2047,0.7355,0.7335,0.0662
03,0.9918,0.5084,0.1344,0.1344,0.7424,0.7448,0.0440
04,0.9875,0.9469,0.1748,0.1748,0.7365,0.7386,0.0572
05,0.9811,0.9484,0.1986,0.1986,0.7518,0.7519,0.0319
06,0.9988,0.9617,0.2145,0.2145,0.7479,0.7473,0.0271
07,0.9969,0.9061,0.1750,0.1750,0.7492,0.7463,0.0223
08,0.9836,0.9092,0.1533,0.1533,0.7471,0.7422,0.0334
09,0.9842,0.8516,0.1799,0.1799,0.7465,0.7496,0.0304
10,0.9816,0.9186,0.1666,0.1666,0.7416,0.7402,0.0285
11,0.9824,0.9273,0.1975,0.1975,0.7422,0.7453,0.0278
12,0.9934,0.9523,0.2037,0.2037,0.7490,0.7502,0.0217
13,0.9984,0.9547,0.1986,0.1986,0.7533,0.7555,0.0185
14,0.9961,0.9146,0.1947,0.1947,0.7422,0.7429,0.0149
15,0.9922,0.9336,0.2020,0.2020,0.7449,0.7469,0.0205
16,0.9961,0.9590,0.2125,0.2125,0.7410,0.7453,0.0146
17,1.0000,0.9594,0.2115,0.2115,0.7523,0.7580,0.0093
18,1.0000,0.9609,0.2117,0.2117,0.7520,0.7562,0.0068
19,0.9969,0.9000,0.2074,0.2074,0.7439,0.7425,0.0079
20,0.9938,0.9561,0.2107,0.2107,0.7484,0.7479,0.0157
21,0.9998,0.9555,0.2053,0.2053,0.7516,0.7583,0.0084
22,0.9994,0.9387,0.1904,0.1904,0.7602,0.7594,0.0098
23,0.9943,0.9582,0.2100,0.2100,0.7527,0.7577,0.0112
24,0.9967,0.9281,0.1854,0.1854,0.7559,0.7547,0.0078
25,0.9895,0.9027,0.1313,0.1313,0.7486,0.7482,0.0122
26,0.9846,0.9512,0.2139,0.2139,0.7453,0.7434,0.0239
27,0.9975,0.9455,0.1996,0.1996,0.7521,0.7560,0.0139
28,0.9971,0.9635,0.2287,0.2287,0.7615,0.7623,0.0111
