epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.6752,0.9117,0.5159,0.5159,0.1615,0.2102,0.0647
01,0.9625,0.9409,0.7031,0.7031,0.7516,0.7691,0.0858
02,0.9947,0.9282,0.7279,0.7279,0.7779,0.7770,0.0491
03,0.9932,0.8740,0.6211,0.6211,0.7744,0.7743,0.0321
04,0.9916,0.9493,0.7230,0.7230,0.7844,0.7843,0.0257
05,0.9992,0.9570,0.7612,0.7612,0.7779,0.7777,0.0150
06,0.9998,0.9435,0.7294,0.7294,0.7814,0.7824,0.0101
07,0.9867,0.5194,0.5276,0.5276,0.7781,0.7768,0.0087
08,0.9742,0.9110,0.5715,0.5715,0.7709,0.7702,0.0219
09,0.9959,0.9295,0.7573,0.7573,0.7805,0.7771,0.0183
10,0.9941,0.8659,0.7061,0.7061,0.7834,0.7800,0.0144
11,0.9934,0.9583,0.7720,0.7720,0.7766,0.7744,0.0190
12,0.9994,0.9519,0.7639,0.7639,0.7824,0.7814,0.0100
13,0.9980,0.9583,0.7688,0.7688,0.7779,0.7768,0.0086
14,0.9959,0.9202,0.6979,0.6979,0.7836,0.7839,0.0081
15,0.9826,0.9475,0.7384,0.7384,0.7771,0.7763,0.0143
16,0.9980,0.9522,0.7374,0.7374,0.7781,0.7830,0.0086
17,0.9998,0.9427,0.7372,0.7372,0.7791,0.7835,0.0074
18,0.9955,0.8846,0.7443,0.7443,0.7863,0.7865,0.0072
19,0.9916,0.7401,0.6325,0.6325,0.7795,0.7846,0.0105
20,0.9949,0.9539,0.7460,0.7460,0.7883,0.7905,0.0139
21,0.9994,0.9496,0.7350,0.7350,0.7887,0.7930,0.0088
22,0.9988,0.9516,0.7411,0.7411,0.7861,0.7888,0.0084
23,0.9965,0.9505,0.6263,0.6263,0.7893,0.7953,0.0058
24,0.9980,0.9547,0.7464,0.7464,0.7898,0.7948,0.0086
25,0.9936,0.9308,0.6864,0.6864,0.7855,0.7896,0.0055
26,0.9881,0.7942,0.5634,0.5634,0.7844,0.7902,0.0116
27,0.9766,0.9077,0.6727,0.6727,0.7766,0.7745,0.0137
28,0.9857,0.9376,0.6988,0.6988,0.7750,0.7747,0.0142
29,0.9939,0.9039,0.6975,0.6975,0.7793,0.7916,0.0129
