epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.2012,0.3398,0.0918,0.0918,0.1160,0.2514,0.0389
01,0.4439,0.5840,0.1922,0.1922,0.4182,0.7558,0.0747
02,0.7977,0.7775,0.1301,0.1301,0.7627,0.7748,0.1069
03,0.9014,0.7051,0.0953,0.0953,0.7879,0.7816,0.0718
04,0.9426,0.8889,0.2371,0.2371,0.7869,0.7881,0.0636
05,0.9584,0.9076,0.2488,0.2488,0.7895,0.8166,0.0426
06,0.9764,0.9066,0.2568,0.2568,0.7969,0.8294,0.0324
07,0.9859,0.9074,0.2385,0.2385,0.8002,0.8178,0.0301
08,0.9895,0.9250,0.3738,0.3738,0.8078,0.8254,0.0329
09,0.9932,0.9182,0.3937,0.3937,0.8098,0.8263,0.0191
10,0.9881,0.5652,0.4885,0.4885,0.8090,0.8188,0.0526
11,0.9465,0.8855,0.6012,0.6012,0.7959,0.8005,0.0754
12,0.9863,0.9408,0.6686,0.6686,0.8070,0.8195,0.0273
13,0.9951,0.8900,0.8072,0.8072,0.8043,0.8214,0.0166
14,0.9854,0.9338,0.8516,0.8516,0.7998,0.8105,0.0273
15,0.9977,0.9395,0.6195,0.6195,0.8119,0.8263,0.0115
16,0.9988,0.9404,0.8016,0.8016,0.8104,0.8247,0.0110
17,0.9959,0.9279,0.8264,0.8264,0.8154,0.8283,0.0091
18,0.9971,0.9461,0.7578,0.7578,0.8146,0.8296,0.0109
19,0.9930,0.8545,0.8170,0.8170,0.8135,0.8297,0.0065
20,0.9744,0.9248,0.8887,0.8887,0.8078,0.8113,0.0360
21,0.9930,0.8881,0.8467,0.8467,0.8064,0.8162,0.0166
22,0.9861,0.8090,0.7576,0.7576,0.8061,0.8192,0.0195
23,0.9885,0.9387,0.8637,0.8637,0.8059,0.8139,0.0291
24,0.9885,0.8789,0.8414,0.8414,0.8084,0.8195,0.0098
25,0.9875,0.9211,0.5939,0.5939,0.8068,0.8154,0.0220
26,0.9938,0.9398,0.8885,0.8885,0.8072,0.8204,0.0125
27,0.9930,0.7793,0.6463,0.6463,0.8084,0.8244,0.0101
28,0.9789,0.9314,0.7869,0.7869,0.7949,0.8099,0.0391
29,0.9967,0.9398,0.5080,0.5080,0.8031,0.8131,0.0210
