epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.1203,0.1797,0.0609,0.0609,0.1504,0.0449,0.0596
01,0.3855,0.4947,0.1146,0.1146,0.4568,0.5594,0.1203
02,0.6871,0.7596,0.2922,0.2922,0.6010,0.7494,0.0891
03,0.7885,0.8234,0.4074,0.4074,0.6611,0.7831,0.0836
04,0.8412,0.5766,0.3908,0.3908,0.7883,0.7828,0.1144
05,0.8387,0.8838,0.4873,0.4873,0.7752,0.7785,0.1123
06,0.9148,0.8594,0.3805,0.3805,0.7965,0.7944,0.0721
07,0.9348,0.9213,0.5682,0.5682,0.7857,0.7792,0.0601
08,0.9703,0.9332,0.4951,0.4951,0.7924,0.7899,0.0500
09,0.9762,0.6787,0.5100,0.5100,0.7926,0.7894,0.0595
10,0.9486,0.9279,0.5443,0.5443,0.7994,0.7952,0.0601
11,0.9859,0.9336,0.6375,0.6375,0.8047,0.8021,0.0293
12,0.9854,0.8174,0.5529,0.5529,0.7977,0.7932,0.0514
13,0.9707,0.9324,0.5828,0.5828,0.7973,0.7906,0.0570
14,0.9895,0.9193,0.5670,0.5670,0.8043,0.8006,0.0226
15,0.9857,0.8822,0.5324,0.5324,0.7949,0.7875,0.0390
16,0.9773,0.9162,0.6625,0.6625,0.8031,0.7965,0.0405
17,0.9945,0.9430,0.6145,0.6145,0.8070,0.8038,0.0196
18,0.9980,0.9363,0.6029,0.6029,0.8014,0.7992,0.0110
19,0.9979,0.9465,0.6080,0.6080,0.8047,0.8025,0.0095
20,0.9938,0.9164,0.6205,0.6205,0.8039,0.8021,0.0106
21,0.9916,0.8959,0.6689,0.6689,0.7920,0.7920,0.0172
22,0.9805,0.9207,0.5492,0.5492,0.8014,0.7950,0.0385
23,0.9928,0.9471,0.6217,0.6217,0.8068,0.8010,0.0187
24,0.9910,0.9143,0.6262,0.6262,0.7955,0.7937,0.0194
25,0.9789,0.9059,0.5021,0.5021,0.7934,0.7821,0.0339
26,0.9820,0.9404,0.5857,0.5857,0.7941,0.7861,0.0203
27,0.9967,0.9287,0.6098,0.6098,0.7945,0.7914,0.0130
28,0.9973,0.9457,0.6678,0.6678,0.8031,0.7984,0.0120
29,0.9945,0.9127,0.4328,0.4328,0.7926,0.7889,0.0111
