epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.6764,0.9119,0.5957,0.5957,0.1559,0.1913,0.0413
01,0.9619,0.9348,0.7255,0.7255,0.7117,0.7631,0.0689
02,0.9938,0.9261,0.7306,0.7306,0.7746,0.7734,0.0464
03,0.9973,0.9375,0.7030,0.7030,0.7744,0.7725,0.0327
04,0.9969,0.9530,0.6768,0.6768,0.7846,0.7836,0.0250
05,0.9996,0.9560,0.7268,0.7268,0.7783,0.7775,0.0166
06,0.9998,0.8725,0.7189,0.7189,0.7807,0.7810,0.0115
07,0.9889,0.7933,0.7223,0.7223,0.7730,0.7733,0.0150
08,0.9824,0.9429,0.6806,0.6806,0.7744,0.7713,0.0193
09,0.9961,0.9057,0.6401,0.6401,0.7805,0.7804,0.0120
10,0.9803,0.7701,0.6062,0.6062,0.7758,0.7734,0.0150
11,0.9828,0.9484,0.7205,0.7205,0.7666,0.7674,0.0161
12,0.9992,0.9486,0.7312,0.7312,0.7832,0.7798,0.0112
13,0.9949,0.9372,0.7331,0.7331,0.7746,0.7739,0.0097
14,0.9963,0.9544,0.7254,0.7254,0.7809,0.7791,0.0099
15,0.9975,0.9528,0.7271,0.7271,0.7820,0.7777,0.0089
16,0.9998,0.9521,0.7107,0.7107,0.7811,0.7790,0.0062
17,0.9998,0.9333,0.7479,0.7479,0.7797,0.7810,0.0052
18,0.9973,0.9129,0.7368,0.7368,0.7830,0.7846,0.0063
19,0.9895,0.7306,0.6590,0.6590,0.7828,0.7828,0.0072
20,0.9893,0.9547,0.7242,0.7242,0.7832,0.7839,0.0113
21,0.9998,0.9375,0.7157,0.7157,0.7861,0.7875,0.0074
22,0.9982,0.9476,0.7177,0.7177,0.7828,0.7854,0.0085
23,0.9936,0.8407,0.4868,0.4868,0.7869,0.7904,0.0055
24,0.9854,0.8953,0.5920,0.5920,0.7855,0.7847,0.0091
25,0.9859,0.9256,0.7290,0.7290,0.7736,0.7810,0.0097
26,0.9891,0.9489,0.7379,0.7379,0.7781,0.7868,0.0104
27,0.9992,0.9572,0.7242,0.7242,0.7828,0.7932,0.0071
28,0.9996,0.8203,0.6165,0.6165,0.7797,0.7969,0.0062
29,0.9961,0.9499,0.6996,0.6996,0.7834,0.7961,0.0090
