epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7225,0.8730,0.0666,0.0666,0.2957,0.2987,0.0684
01,0.9625,0.9338,0.0680,0.0680,0.7018,0.6439,0.0748
02,0.9861,0.9471,0.0510,0.0510,0.7121,0.7091,0.0358
03,0.9906,0.8668,0.0754,0.0754,0.7098,0.7080,0.0204
04,0.9949,0.9184,0.0545,0.0545,0.7070,0.7048,0.0179
05,0.9957,0.9264,0.0707,0.0707,0.7064,0.7059,0.0137
06,0.9936,0.9592,0.0707,0.0707,0.7090,0.7088,0.0137
07,0.9979,0.9578,0.0703,0.0703,0.7164,0.7190,0.0075
08,0.9990,0.8928,0.0727,0.0727,0.7094,0.7104,0.0058
09,0.9822,0.8199,0.0561,0.0561,0.7143,0.7145,0.0133
10,0.9727,0.9502,0.0781,0.0781,0.7133,0.7206,0.0169
11,0.9990,0.9465,0.0791,0.0791,0.7137,0.7192,0.0096
12,0.9994,0.9502,0.0781,0.0781,0.7133,0.7224,0.0074
13,0.9992,0.9297,0.0645,0.0645,0.7164,0.7224,0.0065
14,0.9916,0.9400,0.0760,0.0760,0.7123,0.7241,0.0083
15,0.9916,0.4580,0.0436,0.0436,0.7078,0.7191,0.0085
16,0.9719,0.9244,0.0779,0.0779,0.6988,0.7098,0.0158
17,0.9924,0.8469,0.1141,0.1141,0.7164,0.7299,0.0112
18,0.9861,0.8928,0.0820,0.0820,0.7080,0.7173,0.0116
19,0.9848,0.9363,0.0807,0.0807,0.7131,0.7226,0.0119
20,0.9979,0.9494,0.0801,0.0801,0.7150,0.7241,0.0092
21,0.9996,0.9500,0.0797,0.0797,0.7199,0.7380,0.0061
22,0.9996,0.9439,0.0801,0.0801,0.7176,0.7357,0.0051
23,0.9959,0.7984,0.0723,0.0723,0.7119,0.7339,0.0056
24,0.9811,0.9061,0.0420,0.0420,0.7096,0.7212,0.0131
25,0.9881,0.9377,0.0801,0.0801,0.7018,0.7129,0.0115
26,0.9941,0.9543,0.0914,0.0914,0.7158,0.7312,0.0090
27,0.9992,0.9504,0.0832,0.0832,0.7209,0.7366,0.0062
28,0.9996,0.9541,0.0867,0.0867,0.7207,0.7418,0.0048
