epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.5820,0.8078,0.0455,0.0455,0.2529,0.1908,0.0660
01,0.8459,0.8365,0.0613,0.0613,0.5941,0.6471,0.1252
02,0.8869,0.9313,0.0514,0.0514,0.6762,0.6893,0.0841
03,0.9598,0.9437,0.1254,0.1254,0.6973,0.6967,0.0564
04,0.9799,0.9543,0.1148,0.1148,0.7033,0.7036,0.0400
05,0.9887,0.9430,0.1326,0.1326,0.7117,0.7127,0.0327
06,0.9883,0.9334,0.1018,0.1018,0.7166,0.7230,0.0385
07,0.9891,0.7324,0.0770,0.0770,0.7125,0.7144,0.0357
08,0.9902,0.4250,0.0686,0.0686,0.7164,0.7244,0.0465
09,0.9814,0.9131,0.1172,0.1172,0.7051,0.7098,0.0514
10,0.9830,0.8863,0.2994,0.2994,0.7143,0.7180,0.0299
11,0.9889,0.6703,0.0977,0.0977,0.7021,0.7114,0.0386
12,0.9926,0.9676,0.1729,0.1729,0.7166,0.7188,0.0351
13,0.9963,0.9295,0.1035,0.1035,0.7166,0.7320,0.0167
14,0.9945,0.9705,0.1371,0.1371,0.7207,0.7326,0.0239
15,0.9992,0.9646,0.1207,0.1207,0.7197,0.7425,0.0138
16,0.9971,0.9625,0.0871,0.0871,0.7221,0.7416,0.0133
17,0.9992,0.9713,0.1322,0.1322,0.7227,0.7424,0.0112
18,0.9998,0.9699,0.1295,0.1295,0.7127,0.7396,0.0077
19,0.9998,0.9719,0.1252,0.1252,0.7285,0.7541,0.0105
20,0.9998,0.9717,0.1381,0.1381,0.7301,0.7584,0.0074
21,0.9998,0.9697,0.1410,0.1410,0.7268,0.7555,0.0053
22,0.9996,0.9691,0.1400,0.1400,0.7234,0.7562,0.0069
23,0.9961,0.9342,0.1371,0.1371,0.7211,0.7541,0.0087
24,0.9961,0.9635,0.1430,0.1430,0.7246,0.7460,0.0170
25,0.9992,0.9639,0.1162,0.1162,0.7150,0.7468,0.0074
26,0.9984,0.9682,0.1193,0.1193,0.7244,0.7467,0.0083
27,0.9996,0.9715,0.1473,0.1473,0.7250,0.7523,0.0052
28,0.9998,0.9709,0.1439,0.1439,0.7334,0.7569,0.0040
29,0.9998,0.9697,0.1373,0.1373,0.7238,0.7490,0.0050
