epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7377,0.8477,0.0588,0.0588,0.2475,0.2598,0.0000
01,0.9174,0.9111,0.1059,0.1059,0.6768,0.5180,0.0000
02,0.9752,0.9125,0.1879,0.1879,0.6945,0.6654,0.0000
03,0.9969,0.8627,0.1902,0.1902,0.7111,0.6896,0.0000
04,0.9980,0.9297,0.2309,0.2309,0.7184,0.6995,0.0000
05,0.9996,0.9246,0.2115,0.2115,0.7211,0.7150,0.0000
06,0.9998,0.9256,0.1811,0.1811,0.7225,0.7243,0.0000
07,0.9992,0.9303,0.1771,0.1771,0.7221,0.7244,0.0000
08,0.9998,0.8479,0.1445,0.1445,0.7201,0.7324,0.0000
09,0.9789,0.6428,0.1361,0.1361,0.7053,0.7091,0.0000
10,0.9814,0.7914,0.1619,0.1619,0.7146,0.7162,0.0000
11,0.9838,0.8027,0.0988,0.0988,0.7088,0.7054,0.0000
12,0.9943,0.9154,0.1887,0.1887,0.7268,0.7178,0.0000
13,0.9932,0.8625,0.1043,0.1043,0.7230,0.7320,0.0000
14,0.9914,0.9453,0.1867,0.1867,0.7297,0.7366,0.0000
15,0.9996,0.9412,0.1537,0.1537,0.7316,0.7477,0.0000
16,0.9979,0.9580,0.1607,0.1607,0.7369,0.7412,0.0000
17,0.9998,0.9551,0.1691,0.1691,0.7477,0.7542,0.0000
18,0.9967,0.9240,0.2033,0.2033,0.7307,0.7496,0.0000
19,0.9959,0.9123,0.1666,0.1666,0.7463,0.7432,0.0000
20,0.9982,0.9297,0.2092,0.2092,0.7477,0.7617,0.0000
21,0.9963,0.8869,0.0998,0.0998,0.7416,0.7621,0.0000
22,0.9887,0.7977,0.0707,0.0707,0.7273,0.7323,0.0000
23,0.9803,0.7025,0.1189,0.1189,0.7283,0.7132,0.0000
24,0.9885,0.9652,0.1391,0.1391,0.7369,0.7354,0.0000
25,0.9998,0.9662,0.1619,0.1619,0.7482,0.7559,0.0000
26,0.9998,0.9703,0.1758,0.1758,0.7586,0.7672,0.0000
27,0.9998,0.9615,0.1686,0.1686,0.7588,0.7789,0.0000
28,0.9998,0.9660,0.1650,0.1650,0.7723,0.7746,0.0000
29,0.9967,0.7799,0.0461,0.0461,0.7617,0.7705,0.0000
