epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7381,0.8484,0.0586,0.0586,0.2494,0.2622,0.0036
01,0.9193,0.9154,0.1082,0.1082,0.6797,0.5192,0.0083
02,0.9738,0.9326,0.2209,0.2209,0.6945,0.6674,0.0097
03,0.9945,0.8123,0.1391,0.1391,0.7170,0.6941,0.0101
04,0.9904,0.9400,0.1248,0.1248,0.7180,0.7026,0.0091
05,0.9994,0.9461,0.1500,0.1500,0.7211,0.7227,0.0092
06,0.9994,0.9480,0.1041,0.1041,0.7219,0.7363,0.0082
07,0.9984,0.9563,0.1416,0.1416,0.7258,0.7306,0.0075
08,0.9943,0.8398,0.1154,0.1154,0.7184,0.7337,0.0070
09,0.9838,0.9275,0.1494,0.1494,0.7111,0.7146,0.0065
10,0.9910,0.8096,0.2861,0.2861,0.7207,0.7325,0.0068
11,0.9896,0.8951,0.2082,0.2082,0.7057,0.7066,0.0071
12,0.9939,0.9148,0.2680,0.2680,0.7172,0.7343,0.0071
13,0.9912,0.9230,0.1217,0.1217,0.7150,0.7370,0.0072
14,0.9941,0.9305,0.2172,0.2172,0.7215,0.7377,0.0063
15,0.9926,0.9555,0.2186,0.2186,0.7189,0.7360,0.0060
16,0.9988,0.9641,0.2121,0.2121,0.7303,0.7562,0.0060
17,0.9998,0.9678,0.1990,0.1990,0.7406,0.7656,0.0051
18,0.9998,0.9621,0.1729,0.1729,0.7242,0.7676,0.0045
19,0.9990,0.9615,0.1648,0.1648,0.7402,0.7741,0.0045
20,0.9986,0.9662,0.2162,0.2162,0.7506,0.7802,0.0049
21,0.9996,0.9260,0.1311,0.1311,0.7363,0.7834,0.0044
22,0.9977,0.9652,0.1617,0.1617,0.7350,0.7647,0.0046
23,0.9998,0.9699,0.1699,0.1699,0.7430,0.7754,0.0043
24,0.9990,0.9729,0.1615,0.1615,0.7318,0.7734,0.0042
25,0.9998,0.9766,0.1406,0.1406,0.7352,0.7769,0.0037
26,0.9998,0.9738,0.1338,0.1338,0.7496,0.7937,0.0033
27,0.9998,0.9715,0.1357,0.1357,0.7430,0.7943,0.0029
28,0.9998,0.9707,0.1273,0.1273,0.7500,0.8021,0.0027
29,0.9998,0.9443,0.0979,0.0979,0.7439,0.7917,0.0025
