epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.6668,0.9055,0.4796,0.4796,0.1541,0.1813,0.0142
01,0.9598,0.9398,0.7321,0.7321,0.6957,0.7480,0.0334
02,0.9908,0.9196,0.7363,0.7363,0.7748,0.7673,0.0310
03,0.9963,0.9473,0.7318,0.7318,0.7750,0.7684,0.0240
04,0.9979,0.9437,0.6967,0.6967,0.7867,0.7838,0.0199
05,0.9988,0.9568,0.7575,0.7575,0.7783,0.7742,0.0158
06,0.9998,0.9556,0.7250,0.7250,0.7814,0.7789,0.0116
07,0.9967,0.7592,0.6444,0.6444,0.7789,0.7766,0.0102
08,0.9764,0.9473,0.7064,0.7064,0.7713,0.7681,0.0141
09,0.9988,0.9534,0.7740,0.7740,0.7824,0.7840,0.0115
10,0.9979,0.9375,0.6282,0.6282,0.7799,0.7809,0.0104
11,0.9938,0.8715,0.6772,0.6772,0.7760,0.7735,0.0101
12,0.9869,0.9368,0.7523,0.7523,0.7758,0.7699,0.0099
13,0.9947,0.8840,0.8062,0.8062,0.7744,0.7754,0.0095
14,0.9865,0.8410,0.6055,0.6055,0.7814,0.7780,0.0098
15,0.9805,0.9354,0.7887,0.7887,0.7820,0.7770,0.0092
16,0.9967,0.9413,0.7898,0.7898,0.7822,0.7838,0.0092
17,0.9965,0.7952,0.6927,0.6927,0.7836,0.7896,0.0072
18,0.9842,0.8284,0.7162,0.7162,0.7873,0.7838,0.0082
19,0.9803,0.7564,0.5717,0.5717,0.7756,0.7734,0.0092
20,0.9924,0.9427,0.7308,0.7308,0.7838,0.7771,0.0098
21,0.9994,0.9375,0.7409,0.7409,0.7893,0.7852,0.0085
22,0.9998,0.9480,0.7370,0.7370,0.7883,0.7886,0.0075
23,0.9961,0.9166,0.5306,0.5306,0.7924,0.7965,0.0062
24,0.9939,0.9287,0.7533,0.7533,0.7916,0.7995,0.0060
25,0.9924,0.8745,0.6202,0.6202,0.7793,0.7875,0.0085
26,0.9887,0.9168,0.7304,0.7304,0.7844,0.7859,0.0078
27,0.9973,0.9437,0.7548,0.7548,0.7875,0.7945,0.0083
28,0.9998,0.9428,0.7627,0.7627,0.7836,0.8005,0.0062
29,0.9992,0.9461,0.7117,0.7117,0.7947,0.8097,0.0060
