epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7113,0.8820,0.2102,0.2102,0.1539,0.3582,0.0352
01,0.9592,0.9441,0.2652,0.2652,0.7605,0.7379,0.0611
02,0.9914,0.9354,0.2361,0.2361,0.7799,0.7723,0.0384
03,0.9898,0.8684,0.2025,0.2025,0.7781,0.7748,0.0251
04,0.9881,0.9518,0.2646,0.2646,0.7783,0.7731,0.0214
05,0.9943,0.8258,0.2053,0.2053,0.7793,0.7769,0.0141
06,0.9840,0.9484,0.3344,0.3344,0.7814,0.7771,0.0158
07,0.9990,0.9553,0.2650,0.2650,0.7777,0.7763,0.0115
08,0.9936,0.8516,0.1396,0.1396,0.7848,0.7825,0.0092
09,0.9941,0.9365,0.2473,0.2473,0.7727,0.7679,0.0152
10,0.9941,0.8842,0.2500,0.2500,0.7832,0.7771,0.0109
11,0.9891,0.7158,0.2277,0.2277,0.7818,0.7772,0.0123
12,0.9777,0.9100,0.2250,0.2250,0.7740,0.7658,0.0139
13,0.9875,0.8871,0.2650,0.2650,0.7859,0.7846,0.0113
14,0.9873,0.9537,0.2641,0.2641,0.7777,0.7804,0.0109
15,1.0000,0.9506,0.2313,0.2313,0.7877,0.7963,0.0080
16,0.9998,0.9354,0.2031,0.2031,0.7809,0.7908,0.0075
17,0.9945,0.8301,0.1857,0.1857,0.7859,0.7897,0.0081
18,0.9918,0.9363,0.2389,0.2389,0.7816,0.7960,0.0096
19,0.9941,0.8855,0.2330,0.2330,0.7740,0.7890,0.0076
20,0.9945,0.9580,0.2918,0.2918,0.7828,0.8010,0.0095
21,0.9998,0.9539,0.2807,0.2807,0.7859,0.8035,0.0068
22,0.9998,0.9492,0.2836,0.2836,0.7783,0.7997,0.0054
23,1.0000,0.9527,0.3021,0.3021,0.7830,0.8037,0.0051
24,1.0000,0.9564,0.3158,0.3158,0.7820,0.8073,0.0043
25,0.9969,0.9441,0.3084,0.3084,0.7891,0.8052,0.0044
26,0.9986,0.9543,0.3098,0.3098,0.7875,0.8015,0.0062
27,1.0000,0.9506,0.2969,0.2969,0.7875,0.8065,0.0043
28,1.0000,0.9559,0.3260,0.3260,0.7875,0.8144,0.0036
