epoch,train,iid,ood,val,obj_action,obj_state,sparsity
00,0.7428,0.8498,0.0584,0.0584,0.2467,0.2518,0.0157
01,0.9199,0.9254,0.1107,0.1107,0.6732,0.5191,0.0311
02,0.9799,0.9520,0.2121,0.2121,0.6928,0.6756,0.0297
03,0.9980,0.9389,0.1668,0.1668,0.7156,0.6998,0.0240
04,0.9977,0.9656,0.1074,0.1074,0.7186,0.7124,0.0195
05,0.9998,0.9662,0.1000,0.1000,0.7180,0.7275,0.0141
06,0.9998,0.9441,0.0674,0.0674,0.7209,0.7365,0.0104
07,0.9992,0.9480,0.1043,0.1043,0.7201,0.7309,0.0100
08,0.9967,0.7256,0.0588,0.0588,0.7195,0.7382,0.0096
09,0.9824,0.9652,0.1332,0.1332,0.7049,0.7206,0.0113
10,0.9920,0.7994,0.3318,0.3318,0.7242,0.7410,0.0098
11,0.9842,0.9031,0.1066,0.1066,0.7072,0.7132,0.0115
12,0.9898,0.9137,0.1641,0.1641,0.7180,0.7174,0.0107
13,0.9857,0.6664,0.0676,0.0676,0.7072,0.7322,0.0093
14,0.9891,0.9703,0.1453,0.1453,0.7230,0.7359,0.0091
15,0.9996,0.9623,0.1432,0.1432,0.7301,0.7633,0.0071
16,0.9977,0.9717,0.1594,0.1594,0.7240,0.7573,0.0072
17,0.9998,0.9766,0.1531,0.1531,0.7346,0.7654,0.0060
18,0.9998,0.9639,0.1885,0.1885,0.7195,0.7625,0.0050
19,0.9977,0.9725,0.1605,0.1605,0.7293,0.7637,0.0052
20,0.9996,0.9738,0.1492,0.1492,0.7361,0.7755,0.0047
21,0.9967,0.8592,0.0654,0.0654,0.7309,0.7782,0.0040
22,0.9975,0.9654,0.0916,0.0916,0.7340,0.7558,0.0058
23,0.9967,0.7363,0.1045,0.1045,0.7291,0.7717,0.0049
24,0.9803,0.9746,0.1582,0.1582,0.7209,0.7247,0.0070
25,0.9998,0.9771,0.1207,0.1207,0.7225,0.7540,0.0057
26,0.9996,0.9758,0.1217,0.1217,0.7400,0.7785,0.0049
27,0.9998,0.9723,0.1178,0.1178,0.7342,0.7824,0.0041
28,0.9998,0.9709,0.1197,0.1197,0.7447,0.7870,0.0039
29,0.9998,0.9771,0.1160,0.1160,0.7355,0.7825,0.0036
